Author;Title;AlternativeTitle;Serie;Publisher;PrintedYears;Type;Code;Subjects1;Subjects2;Contents;CreateDate
Berghe, J. van den;De Habsburgs en de Coburgs;;;Helios;"	1984	0	";fotoboek;z015n;Rudolf van Oostenrijk, Stephanie van België, e.a.;Leopold II van België en Maria Hendrika van Oostenrijk, Albert I van België en Elisabeth van Beieren, Laurens van Oostenrijk-Este en Astrid van België, Charlotte van België en Maximiliaan van Oostenrijk en Mexico;ï;27-12-2011
Bernhardt, L.S.;Keizerin van mijn hart;La vie tourmenté de Sophie Chotek;Gulden Pocket;;"	0	1968	";roman;p023n;Frans Ferdinand van Oostenrijk, Sophie Chotek;Frans Jozef I van Oostenrijk;;NULL
Bernhart, J.;De drievoudige kroon;Der Vatikan als Weltmacht;;Fontein Utrecht;"	0	1953	";naslagwerk;b026n;paus Leo IV, paus Nicolaas de grote, paus Urbanus VIII e.a.;paus Gregorius VII de heilige, paus Innocentus X, paus Sixtus V, paus Clemens VII de' Medici, paus Paulus III Farnese, paus Paulus V Borghese, paus Julius II della Rovere, paus Clemens XI, paus Adrianus I, paus Leo X de' Medici, paus Alexander VI Borgia;P;NULL
Beusekom, E. van, e.a.;Moeders uit ons vorstenhuis;;;Scheltens / Giltay;"	1938	0	";naslagwerk;z020n;Juliana van Stolberg, Amalia van Solms, Marianne van Nederland, e.a.;"Anna van Saksen, Anna van Buren, Charlotte de Bourbon, Maria Stuart van Groot-Brittannië, Sophia Hedwig van Brunswijk-Lüneburg, Amalia van Anhalt-Dessau, Marie Louise ""Maaike Meu"" van Hessen-Kassel, Willemijntje van Pruisen, Anna Paulowna van Rusland";ï;NULL
Beyer, ds. C.;Anastasia;Anastasia;;G.F. Callenbach;"	0	0	";novelle;b149n;Anastasia van Pommeren, hertogin van Mecklenburg;;;NULL
Bibby, G.;Vierduizend jaar geleden;Four thousand years ago;Meulenhoff Informatief;Meulenhoff;"	1961	1981	";roman;z030n;Toetanchamon van Egypte, Achsenpaäten van Egypte, e.a.;;;NULL
