Column 0;Auteur;Column 2;Titel;Column 4;AlterTitel;Column 6;Serie;Column 8;Uitgever;Jaren2;Type;Column 12;Code;Column 14;Onderwerp1;Column 16;Onderwerp2;Column 18;Inhoud;Column 20;InvoerDatum
0924;Mangan, J.J.;	;The Fishes' Daughter;	;The King's favour (Three eighteethcentury...);	;The King's favour I;	;Allan Sutton;	1991	1991	;biografie;	;l092e;	;Lodewijk XV van Frankrijk;	;Jeanne Antoinette Poisson, madame de Pompadour, Jeanne Vaubertier, madame Du Barry, Anne-Marie de Nesle de Tournelle, hertogin van Châteauroux, Marie Leczynska van Polen, Lodewijk van Frankrijk, dauphin, Filips II van Frankrijk-Orléans;	;ïx;;NULL
0924;Mangan, J.J.;	;The Cyclops;	;The King's favour (Three eighteethcentury...);	;The King's favour I;	;Allan Sutton;	1991	1991	;biografie;	;l092e;	;Catharina II de grote van Rusland;	;Peter III van Rusland, Elisabeth I van Rusland, Gregory Orlow, Gregory Potemkin, Plato Alexandrovich Zubov, Paul I van Rusland, Alexander I van Rusland, Stanislaus II Augustus Poniatowski van Polen;	;ïx;;NULL
0904;Matthew, D.;	;Atlas van de middeleeuwen;	;Atlas of Medieval Europe;	;;	;Equinox Oxford;	1983	1985	;naslagatlas;	;l090n;	;Karel de grote van Frankenland, e.a.;	;Lodewijk IX de heilige van Frankrijk, Otto I de grote van Duitsland, Frederik II van Hohenstaufen, Clovis I van Francië, Edward I van Engeland, Theodorik van de Oost-Goten, Karel II de kale van Frankenland, Basileus II de bulgarendoder van Byzantium;	;ixb;;NULL
1177;Jenkins, R.;	;Byzantium (The Imperial Centuries AD 610-1071);	;Byzantium;	;;	;Toronto Press;	1966	1987	;studie;	;z117e;	;Basileus II van Byzantium, Leo VI de wijze van Byzantium, e.a.;	;Michael III van Byzantium, Nicephorus II van Byzantium, Romanus I van Byzantium, Basileus I van Byzantium, Constantijn VII van Byzantium, Nicephorus I van Byzantium, Leo III van Byzantium, Constantijn V van Byzantium, Zoë, Irene, Theodora van Byzantium;	;x;;NULL
0784;Prawdin, M.;	;Het erfgoed van een groot Mongool (De heerscher);	;;	;Het erfgoed van een groot Mongool (I);	;Stok / ZHU;	0	0	;studie;	;l078n;	;Djenghis Khan;	;Ögödei Khan, Koeioek Khan;	;ïípb;;NULL
0794;Prawdin, M.;	;Het erfgoed van een groot Mongool (De Nazaten);	;;	;Het erfgoed van een groot Mongool (II);	;Stok / ZHU;	0	0	;studie;	;l079n;	;Khublai Khan, Tamerlan, e.a.;	;Batu Khan, Pu Yi van China, de laatste keizer, Marco Polo, Burte Khan;	;ïí;;NULL
2762;Konsalik, H.G.;	;De lijfarts van de tsarina;	;Der Leibarzt der Zarin;	;Konsalik Omnibus;	;De Boekerij;	1974	0	;roman;	;b276n;	;Marja Temrjuka, tsarina;	;Iwan IV de verschrikkelijke van Rusland;	;;;NULL
2762;Konsalik, H.G.;	;Ninotsjka, heerseres van de Taïga;	;Ninotschka, die Herrin der Taïga;	;Konsalik Omnibus;	;De Boekerij;	1974	0	;roman;	;b276n;	;;	;Nicolaas I van Rusland;	;;;NULL
2832;Borovsky, N.;	;Prinses aan het keizerlijke hof;	;A daughter of the nobility;	;;	;Kadmos Utrecht;	1985	1986	;roman;	;b283n;	;;	;Tatjana van Rusland, Nicolaas II van Rusland, Alexandra van Hessen-Darmstadt, Igor Constantinovitch van Rusland;	;;;NULL
2822;Druon, M.;	;Om een koningskroon;	;Les poisons de la couronne (II);	;De vervloekte vorsten (IV);	;Gottmer;	0	1970	;roman;	;b282n;	;Filips V de lange van Frankrijk;	;Clemence van Hongarije, Karel van Frankrijk-Valois, Jan I van Frankrijk, Machuut van Artois, Johanna I van Bourgondië;	;p;;NULL
2812;Feuchtwanger, L.;	;Süss de Jood;	;Jud Süss;	;De reuzensalamander;	;Querido;	0	1950	;roman;	;b281n;	;;	;Karl Alexander van Württemberg, Eberhard IV Ludwig van Württemberg, Johanna Elisabeth van Baden, Marie Auguste van Thurn und Taxis, Heinrich Friedrich van Württemberg, Karl II Eugen van Württemberg, Josef Süss Oppenheimer;	;u;;NULL
2792;Tessin, B. von;	;De bastaard;	;Der Bastard;	;;	;Leopolds;	1956	0	;roman;	;b279n;	;;	;Lodewijk XIV van Frankrijk, Louise de la Vallière, Filips I van Frankrijk-Orléans;	;p;;NULL
2872;Vis, dr. P.;	;Oranje boven! (Nederland en Oranje in het lied);	;;	;;	;Wolters-Noordhoff;	1989	1989	;liedboek;	;b287n;	;Oranjeliedjes;	;Juliana van Nederland, Willem III van Nederland, Willem I de zwijger van Oranje, Sophie van Württemberg, Emma van Waldeck-Pyrmont, Wilhelmina van Nederland, Beatrix van Nederland;	;ï;;NULL
0934;Erlanger, Ph.;	;The age of courts and Kings (Manners and Morals 1558-1715);	;The age of courts and Kings;	;;	;Weidenfeld and Nich.;	0	1967	;studie;	;l093e;	;Filips V van Spanje, Lodewijk XIV de zonnekoning van Frankrijk, e.a.;	;Jacobus I van Engeland en Schotland, Hendrik IV van Frankrijk, Karel II van Spanje, Karel II van Groot-Brittannië, Cosimo III de' Medici van Toskane, Elisabeth I van Engeland, Filips II van Spanje, Lodewijk XIII van Frankrijk, Hendrik III van Frankrijk;	;xï;;NULL
1242;Hacket, F.;	;Hendrik VIII;	;Henry VIII;	;;	;ZHU;	1929	1945	;biografie;	;b124n;	;Hendrik VIII van Engeland, Catharina van Aragon, Anna van Kleef;	;Catherina Howard, Jane Seymour, Anne Boleyn, Catherine Parr, Maria I de bloedige van Engeland, 'Bloody Mary';	;uï;;NULL
