Column 0;Auteur;Column 2;Titel;Column 4;AlterTitel;Column 6;Serie;Column 8;Uitgever;Jaren2;Type;Column 12;Code;Column 14;Onderwerp1;Column 16;Onderwerp2;Column 18;Inhoud;Column 20;InvoerDatum
0157;Berghe, J. van den;	;De Habsburgs en de Coburgs;	;;	;;	;Helios;	1984	0	;fotoboek;	;z015n;	;Rudolf van Oostenrijk, Stephanie van België, e.a.;	;Leopold II van België en Maria Hendrika van Oostenrijk, Albert I van België en Elisabeth van Beieren, Laurens van Oostenrijk-Este en Astrid van België, Charlotte van België en Maximiliaan van Oostenrijk en Mexico;	;ï;;NULL
0147;Berghe, J. van den;	;Het intieme dagboek van een koningshuis;	;;	;;	;Helios;	1980	0	;fotoboek;	;z014n;	;Leopold II van België, Albert I van België, Louise van België, e.a.;	;Leopold I van België en Filips van Saksen-Coburg, Leopold III van België en Astrid van Zweden, Stephanie van België en Rudolf van Oostenrijk, Marie-Louise van Frankrijk, Elisabeth van Beieren, Clementine van België, Charlotte van België;	;ï;;NULL
0230;Bernhardt, L.S.;	;Keizerin van mijn hart;	;La vie tourmenté de Sophie Chotek;	;Gulden Pocket;	;;	0	1968	;romannetje;	;p023n;	;Frans Ferdinand van Oostenrijk, Sophie Chotek;	;Frans Jozef I van Oostenrijk;	;;;NULL
0262;Bernhart, J.;	;De drievoudige kroon;	;Der Vatikan als Weltmacht;	;;	;Fontein Utrecht;	0	1953	;naslagwerk;	;b026n;	;paus Leo IV, paus Nicolaas de grote, paus Urbanus VIII e.a.;	;paus Gregorius VII de heilige, paus Innocentus X, paus Sixtus V, paus Clemens VII de' Medici, paus Paulus III Farnese, paus Paulus V Borghese, paus Julius II della Rovere, paus Clemens XI, paus Adrianus I, paus Leo X de' Medici, paus Alexander VI Borgia;	;P;;NULL
0207;Beusekom, E. van, e.a.;	;Moeders uit ons vorstenhuis;	;;	;;	;Scheltens / Giltay;	1938	0	;naslagwerk;	;z020n;	;Juliana van Stolberg, Amalia van Solms, Marianne van Nederland, e.a.;	;Anna van Saksen, Anna van Buren, Charlotte de Bourbon, Maria Stuart van Groot-Brittannië, Sophia Hedwig van Brunswijk-Lüneburg, Amalia van Anhalt-Dessau, Marie Louise "Maaike Meu" van Hessen-Kassel, Willemijntje van Pruisen, Anna Paulowna van Rusland;	;ï;;NULL
1492;Beyer, ds. C.;	;Anastasia;	;Anastasia;	;;	;G.F. Callenbach;	0	0	;novelle;	;b149n;	;Anastasia van Pommeren, hertogin van Mecklenburg;	;;	;;;NULL
0307;Bibby, G.;	;Vierduizend jaar geleden;	;Four thousand years ago;	;Meulenhoff Informatief;	;Meulenhoff;	1961	1981	;roman;	;z030n;	;Toetanchamon van Egypte, Achsenpaäten van Egypte, e.a.;	;;	;;;NULL
0252;Bingham, C.;	;Kings and Queens of Scotland;	;Kings and Queens of Scotland;	;;	;Dorset;	1976	1976	;naslagwerk;	;b025e;	;Jacobus II van Schotland, Mary I Stuart van Schotland, e.a.;	;Malcolm III van Schotland, Margaret Ætheling van Engeland, Robert I Bruce van Schotland, Maria van Gelre, Jacobus III van Schotland, Alexander III van Schotland, Jacobus I van Schotland, Jacobus IV van Schotland, Maria van Lotharingen-Guise;	;ïx;;NULL
0100;Boeren, dr. P.C.;	;Een Nederlandse wacht... (Jan de eerste, hertog van Brabant);	;;	;;	;B&C-maatschappij;	0	1952	;roman;	;p010n;	;Jan I de overwinnaar van Brabant;	;Margaretha van Vlaanderen, hertogin van Brabant, Aleidis van Bourgondië, hertogin van Brabant;	;;;NULL
0117;Bold, A.;	;Scotland's Kings and Queens;	;Scotland's Kings and Queens;	;Pictorial Guides;	;Pitkin;	0	1980	;fotoboek;	;z011e;	;Jacobus IV van Schotland, Mary I Stuart van Schotland, e.a.;	;Malcolm III van Schotland, Jacobus I van Schotland, Robert I Bruce van Schotland, Charles Edward Stuart van Schotland, "Bonnie Prince Charlie", Anna van Denemarken, Jacobus V van Schotland, Alexander III van Schotland, Kenneth I mac Alpin van Schotland;	;i;;NULL
0742;Bourne, P.;	;Ghislaine en de hof der lusten;	;The court of love;	;Cultuurserie;	;Stok / ZHU;	0	0	;roman;	;b074n;	;Eleonora van Aquitanië, koningin van Engeland;	;;	;;;NULL
0812;Bowen, M.;	;De gunsteling van koning Jacobus I;	;Intriques at the court of James I;	;;	;T;	0	1981	;roman;	;b081n;	;Jacobus I van Engeland en Schotland;	;Hendrik van Engeland en Schotland, Anna van Denemarken, koningin van Engeland en Schotland;	;;;NULL
0952;Boyton, P.;	;The reluctant mistress;	;The reluctant mistress;	;;	;RH;	1977	1977	;roman;	;b095e;	;Frans I van Frankrijk, Hendrik VIII van Engeland en Mary Boleyn;	;;	;;;NULL
0487;Bradford, S.;	;De Borgia's;	;The Borgia's;	;;	;F-VD;	1981	1986	;roman;	;z048n;	;paus Alexander VI Borgia, Cesare Borgia;	;Lucretia Borgia, Alfonso I van Este-Modena, Alfonso van Aragon, bastaard van Napels, prins van Salerno;	;;;NULL
0272;Brandt, dr. C.D.J.;	;Kruisvaarders naar Jeruzalem;	;;	;;	;De Haan;	0	1950	;naslagwerk;	;b027n;	;de eerste kruistocht;	;Godfried van Bouillon en Boudewijn I van Jeruzalem, Alexius I Comnenos van Byzantium;	;ïx;;NULL
0492;Brevoort, W. van;	;Floris der keerlen God;	;;	;;	;Vox Hollandiae;	1945	0	;roman;	;b049n;	;Floris V van Holland;	;Beatrix van Vlaanderen, Jan I van Holland;	;;;NULL
1902;Brögger, W.;	;Driemaal koningin;	;Tre gange dronning;	;;	;Van Kampen & zoon;	0	0	;roman;	;b190n;	;Ulfhilde Tjottaäten, Sverker I van Zweden;	;Inge II de jonge van Zweden, Margaretha Fredkulla van Zweden, Sigurd I de kruisvaarder van Noorwegen, Niels I van Denemarken;	;;;NULL
0297;Bronsted, J.;	;Zo leefden de Vikingen ten tijde van de invasies;	;Vikingerne;	;Zo leefden de;	;Hollandia;	1960	1986	;studie;	;z029n;	;de vikingen;	;Harald I Blauwtand van Denemarken, Harald III Hårdråde van Noorwegen, Magnus I van Noorwegen, Karel de grote van Frankenland, Sven I Gaffelbaard van Denemarken, Olaf II de heilige van Noorwegen, Olaf I Skötkonung van Zweden;	;x;;NULL
0237;Brouwer, dr. J.;	;Johanna de waanzinnige (Een tragisch leven in een... );	;;	;;	;Donker;	1940	1977	;studie;	;z023n;	;Johanna de waanzinnige van Kastilië en Aragon;	;Filips de schone van Oostenrijk, Ferdinand II van Aragon;	;uì;;NULL
0040;Brouwer, dr. J.;	;Johanna de waanzinnige (Een tragisch leven in een... );	;;	;;	;Meulenhoff;	1940	1958	;studie;	;p004n;	;Johanna de waanzinnige van Kastilië en Aragon;	;Filips de schone van Oostenrijk, Karel V van Oostenrijk;	;ur;;NULL
0140;Brouwer, dr. J.;	;Philips Willem (De Spaanse prins van Oranje);	;;	;;	;Spectrum;	1940	0	;studie;	;p014n;	;Filips Willem van Oranje-Nassau;	;Willem I de zwijger van Oranje, Filips II van Spanje;	;ì;;NULL
1752;Buck, P.S.;	;Keizerin van China;	;Imperial woman;	;;	;Bruna;	1956	1977	;roman;	;b175n;	;T'zu-hsi van China;	;Hsien-feng van China, T'ung-chih van China, Kung van China;	;;;NULL
1322;Bunt, A.W. van de;	;De goudkoning;	;;	;;	;Voorhoeve;	0	0	;roman;	;b132n;	;Gustaaf II Adolf van Zweden;	;Christina van Zweden;	;;;NULL
0317;Busch, F.D.;	;Tegenspelers van de koning;	;Was begab sich abar zu der Zeit;	;;	;J.H. Kok;	1959	0	;studie;	;z031n;	;Herodes I de grote van Israël;	;Herodes Agrippa I van Israël, Herodes Agrippa II van Israël;	;î;;NULL
0357;Butler, D.;	;Edward VII (De vredestichter);	;Edward VII, peacemaker;	;Edward VII (II);	;De Boekerij;	1974	0	;roman;	;z035n;	;Edward VII van Groot-Brittannië als koning;	;Alexandra van Denemarken, koningin van Groot-Brittannië, George V van Groot-Brittannië;	;;;NULL
0347;Butler, D.;	;Edward VII (Prins der harten);	;Edward VII, prince of hearts;	;Edward VII (I);	;De Boekerij;	1974	0	;roman;	;z034n;	;Edward VII van Groot-Brittannië als kroonprins;	;Victoria van Groot-Brittannië, Alexandra van Denemarken;	;;;NULL
0184;Byrd, E.;	;Margaret van Schotland;	;Flowers of the forest;	;LHR;	;Lekturama;	0	0	;roman;	;l018n;	;Margaretha Tudor van Engeland, Jacobus V van Schotland;	;;	;î;;NULL
0000;Damstré, dr. D.;	;Romeinse sagen en verhalen;	;;	;Prisma;	;Spectrum;	1958	0	;sagen;	;p000n;	;Het Oude Rome;	;;	;;;NULL
0010;Dankers, J. e.a.;	;Lexicon historische figuren van de Lage Landen;	;;	;Prisma kennis;	;Spectrum;	1985	1985	;naslagwerk;	;p001n;	;Boudewijn II van Henegouwen, Boudewijn VII van Vlaanderen, e.a.;	;Jacoba van Beieren, Johanna van Brabant, Margaretha van Parma, Jozef II van Oostenrijk, Leopold I van België, Maurits van Oranje, Hendrik van Brederode, Rutger Jan Schimmelpenninck, Leopold van Limburg Stirum, Floris V van Holland;	;p;;NULL
0090;Davidov, H.;	;The pocket book of quotations;	;The pocket book of quotations;	;;	;;	0	0	;uitspraken;	;p009e;	;;	;;	;;;NULL
0597;Davis, B.;	;Hoogheid, mag ik U iets vragen?;	;;	;;	;Strengholt;	1986	0	;interviews;	;z059n;	;;	;;	;ï;;NULL
0322;Deursen, dr. A. van;	;Atlas voor Bijbelse geschiedenis;	;;	;;	;J.B. Wolters;	1961	1963	;atlas;	;b032n;	;;	;;	;;;NULL
0387;Kloek, E., e.a.;	;Naar Eva's beeld;	;;	;;	;Elsevier;	1987	1987	;studie;	;z038n;	;vrouwengeschiedenis;	;Elisabeth van Thüringen, Eleonora van Aquitanië, Theodora van Byzantium, Jacoba van Beieren, Christina van Zweden, Catharina de' Medici, Theophano van Byzantium, Katharina van Mecklenburg, hertogin van Saksen, Catharina II de grote van Rusland;	;i;;NULL
0037;Dijl, drs. J. van;	;De geschiedenis der Carlisten (Op en om de Spaanse troon);	;;	;;	;Kok;	0	1965	;studie;	;z003n;	;Karel 'V' van Spanje, Karel 'VI' van Spanje, e.a.;	;Karel IV van Spanje, Marie Luise van Parma, Isabella II van Spanje, Johan 'III' van Spanje, Karel 'VII' van Spanje, Karel Hugo van Parma;	;;;NULL
1482;Dreux, D.;	;De grote leugen;	;;	;;	;De Arbeiderspers;	1966	0	;roman;	;b148n;	;Frederik Willem I van Pruisen, Ferdinand II van Oostenrijk, e.a.;	;Lodewijk XIV de zonnekoning van Frankrijk, Maurits van Oranje, Napoleon I Bonaparte van Frankrijk, Gustaaf II Adolf van Zweden, Karel I van Groot-Brittannië, Maria Theresia van Oostenrijk, Lodewijk XVI van Frankrijk, Frederik II de grote van Pruisen;	;;;NULL
1312;Dreux, D.;	;Des konings glorie;	;;	;;	;Arbo;	1963	1963	;roman;	;b131n;	;Frederik Willem II van Pruisen;	;;	;;;NULL
0932;Druon, M.;	;Dan maar vergift;	;Les poisons de la couronne (I);	;De vervloekte vorsten (III);	;J.H. Gottmer;	0	1969	;roman;	;b093n;	;Lodewijk X de woelzieke van Frankrijk;	;Clémence van Hongarije, koningin van Frankrijk, Filips V de lange van Frankrijk, Karel IV de schone van Frankrijk, Karel van Frankrijk-Valois;	;p;;NULL
0912;Druon, M.;	;De vervloeking;	;Le roi de fer;	;De vervloekte vorsten (I);	;J.H. Gottmer;	1955	1968	;roman;	;b091n;	;Filips IV de schone van Frankrijk, Lodewijk X van Frankrijk;	;Margaretha van Bourgondië, Karel IV van Frankrijk, Blanche van Bourgondië, Isabella van Frankrijk, 'de Franse wolvin', koningin van Engeland, Karel van Frankrijk-Valois, Johanna I van Bourgondië, Machuut van Artois, Robert III van Artois;	;eup;;NULL
0922;Druon, M.;	;Een vrouw voor de koning;	;La reine étranglée;	;De vervloekte vorsten (II);	;J.H. Gottmer;	1956	0	;roman;	;b092n;	;Lodewijk X de woelzieke van Frankrijk en Navarra;	;Clémence van Hongarije, koningin van Frankrijk, Karel van Frankrijk-Valois, Filips V de lange van Frankrijk, Margaretha van Bourgondië, Johanna I van Bourgondië;	;eup;;NULL
0154;Druon, M.;	;Filips de schone (vervloekt en bemind);	;Le roi de fer;	;De vervloekte vorsten (I) / LHR;	;Lekturama;	1955	0	;roman;	;l015n;	;Filips IV de schone van Frankrijk, Lodewijk X van Frankrijk;	;Margaretha van Bourgondië, Isabella van Frankrijk, 'de Franse wolvin', koningin van Engeland, Karel IV de schone van Frankrijk, Blanche van Bourgondië, Karel van Frankrijk-Valois, Robert III van Artois, Machuut van Artois;	;eurî;;NULL
0164;Druon, M.;	;Lodewijk X (koning tussen twee vrouwen);	;La reine étranglée;	;De vervloekte vorsten (II) / LHR;	;Lekturama;	1956	0	;roman;	;l016n;	;Lodewijk X de woelzieke van Frankrijk en Navarra;	;Clémence van Hongarije, koningin van Frankrijk, Filips V de lange van Frankrijk, Karel van Frankrijk-Valois, Margaretha van Bourgondië, Johanna I van Bourgondië;	;eurî;;NULL
0617;Druon, M.;	;The iron King;	;Le roi de fer;	;De vervloekte vorsten (I);	;Century Publishing;	1955	1985	;roman;	;z061n;	;Filips IV de schone van Frankrijk, Lodewijk X van Frankrijk;	;Margaretha van Bourgondië, Karel IV van Frankrijk, Blanche van Bourgondië, Isabella van Frankrijk, 'de Franse wolvin', koningin van Engeland, Karel van Frankrijk-Valois, Johanna I van Bourgondië, Robert III van Artois, Machuut van Artois;	;nrp;;NULL
0627;Druon, M.;	;The strangled Queen;	;La reine étranglée;	;De vervloekte vorsten (II);	;Century Publishing;	1956	1985	;roman;	;z062n;	;Lodewijk X de woelzieke van Frankrijk en Navarra;	;Clémence van Hongarije, koningin van Frankrijk, Karel van Frankrijk-Artois, Filips V de lange van Frankrijk, Margaretha van Bourgondië, Johanna I van Bourgondië;	;nrp;;NULL
0407;Duby, G.;	;Willem de maarschalk (of de beste ridder ter wereld);	;Guillaume le Maréchal ou le meilleur...;	;;	;Elsevier;	1984	1986	;studie;	;z040n;	;Willem de maarschalk;	;Hendrik III van Engeland;	;x;;NULL
0170;Duggan, A.;	;De twee zwaarden;	;God and my right;	;;	;Spectrum;	0	1955	;roman;	;p017n;	;Hendrik II van Engeland en Normandië;	;Eleonora van Aquitanië, Richard I leeuwenhart van Engeland;	;;;NULL
0507;Hohenzollern, V.L. von;	;Zo, dat was ik;	;Ein Leben als Tochter des Kaizers;	;;	;Weekend Kroon;	0	1975	;autobiografie;	;z050n;	;Victoria Louise van Duitsland;	;Wilhelm II van Duitsland;	;;;NULL
0962;Dumas, A.;	;De Parijse bloedbruiloft;	;La reine Margot;	;;	;Capitool;	0	0	;roman;	;b096n;	;Margaretha van Frankrijk, 'la reine Margot', koningin van Navarra;	;Hendrik IV van Frankrijk, Catharina de' Medici;	;;;NULL
0150;Dumas, A.;	;De burggraaf van Bragelonne;	;;	;Twintig jaar later (II);	;;	0	0	;roman;	;p015n;	;Lodewijk XIV de zonnekoning van Frankrijk;	;;	;;;NULL
0160;Dumas, A.;	;De man met het ijzeren masker;	;;	;Twintig jaar later (III);	;;	0	0	;roman;	;p016n;	;Lodewijk XIV de zonnekoning van Frankrijk;	;Louise de la Vallière;	;;;NULL
0790;Dunnett, D.;	;Queens' play;	;Queens' play;	;The Lymond Chronicle (II);	;Warner Books;	1964	1964	;roman;	;p079e;	;Maria van Lotharingen-Guise, koningin van Schotland;	;Hendrik II van Frankrijk, Frans de Guise, Charles de Guise, Mary I Stuart van Schotland, Frans II van Frankrijk, Matthew Stuart van Lexnnox, Margaret Douglas, John Stuart d'Aubigny, Claude de Guise, Catharine de' Medici, William Parr van Kendal;	;;;NULL
0530;Dymoke, J.;	;The lady of the garter;	;The lady of the garter;	;The Plantagenets;	;ACE Books;	0	1979	;roman;	;p053e;	;Joan van Engeland-Kent, 'the fair maiden of Kent';	;Edward van Engeland, 'the black prince', Richard II van Engeland, Edward III van Engeland, Filippa van Henegouwen en Holland, Jan van Gent van Engeland;	;;;NULL
0550;Dymoke, J.;	;The lord of Greenwich;	;The lord of Greenwich;	;The Plantagenets;	;NEL Historical;	1980	1980	;roman;	;p055e;	;Humphrey van Engeland-Gloucester;	;Jacoba van Beieren, Hendrik V van Engeland;	;;;NULL
0540;Dymoke, J.;	;The royal griffin;	;The royal griffin;	;The Plantagenets;	;NEL Historical;	1978	1978	;roman;	;p054e;	;Eleonora van Engeland, Simon de Montfort;	;Hendrik III van Engeland en Eleonora van Provence, Willem de Maarschalk jr.;	;;;NULL
0327;Haar, J. ter, e.a.;	;Het Romeinse keizerrijk;	;;	;Geschiedenis en cultuur paperback;	;De Haan;	1971	1978	;biografieën;	;z032n;	;Augustus van Rome, Tiberius van Rome, Vespasianus van Rome, e.a.;	;Constantijn I de grote van Rome, Nero van Rome, Claudius van Rome, Caligula van Rome, Titus van Rome, Marcus Aurelius van Rome, Trajanus van Rome, Caracalla van Rome, Commodus van Rome, Antonius Pius van Rome, Julianus de afvallige van Rome;	;î;;NULL
0820;Hacket, F.;	;Hendrik VIII I;	;Henry VIII I;	;Prisma-boeken;	;Spectrum;	1929	0	;biografie;	;p082n;	;Hendrik VIII Tudor van Engeland, Catharina van Aragon;	;;	;ur;;NULL
0810;Hacket, F.;	;Hendrik VIII II;	;Henry VIII II;	;Prisma-boeken;	;Spectrum;	1929	0	;biografie;	;p081n;	;Hendrik VIII Tudor van Engeland, Anna van Kleef, Jane Seymour;	;Catherine Howard, Catherine Parr;	;ur2;;NULL
0277;Hagen, V.W. von;	;De Azteken (geschiedenis en cultuur);	;The Aztec: Man and tribe;	;;	;Van Ditmar;	0	0	;roman;	;z027n;	;Montezuma II van Mexico;	;;	;ï;;NULL
0490;Hardwick, M.;	;Charlie is my darling;	;Charlie is my darling;	;;	;Sphere;	1977	1979	;roman;	;p049e;	;Charles Edward Stuart van Schotland, 'Bonnie Prince Charlie';	;;	;;;NULL
1682;Harsány, Z.;	;Hongaarse rhapsody;	;;	;Franz Liszt trilogie;	;Sijthof;	0	1957	;roman;	;b168n;	;Franz Liszt;	;;	;;;NULL
0677;Hartog, H.;	;'s Rijks Kastelen;	;;	;Trefpunt Extra;	;;	0	1978	;gids;	;z067n;	;Hollandse kastelen;	;;	;;;NULL
0430;Heaven, C.;	;De koningin en haar zigeuner;	;The Queen and the gypsy;	;;	;Bruna;	1977	1978	;roman;	;p043n;	;Elisabeth I Tudor van Engeland, Robert Dudley van Leicester;	;;	;;;NULL
0284;Henrikson, A., e.a.;	;Wereldhistorie;	;;	;Summa Encyclopedie en woordenboek (21);	;Kluwer Groep;	1978	1980	;naslagwerk;	;l028n;	;wereldgeschiedenis van 2000 v C. tot 1980 n C.;	;Lotharius I van Duitsland, Abbas I van Perzië, Erik XIV van Zweden, Iwan III van Rusland, Filips II van Spanje, Erik V van Denemarken, Frederik I Barbarossa van Duitsland, Lodewijk IX de heilige van Frankrijk, Gustaaf I Wasa van Zweden;	;i;;NULL
0130;Herbert, K.;	;De eeuw van de helden (Een keltisch epos);	;Queen of lightning;	;Prisma Roman;	;Spectrum;	1983	1985	;roman;	;p013n;	;Edwin de heilige van Northumbrië, Oswald van Bernicië;	;Penda van Mercië, Cuneburg van Wessex, Rhun up Urien van Cumbrië, Ethelfrith van Bernicië, Cadwallon van Gwynedd;	;p;;NULL
0142;Herenius-Kamstra, A.;	;Vorstenhuizen in Europa;	;;	;;	;Elsevier;	1980	1980	;fotoboek;	;b014n;	;Hendrik VIII Tudor van Engeland, Gustaaf III van Zweden, e.a.;	;Christina van Zweden, Zog I van Albanië, Elisabeth I Tudor van Engeland, Karel V van Oostenrijk, Rainier III van Monaco, Constantijn II van Griekenland, Filips II van Spanje, Lamoraal van Egmond, Leopold II van België, Frans Josef II van Liechtenstein;	;i;;NULL
0257;Herenius-Kamstra, A.;	;Willem van Oranje 1533-1584 (De prins. De Mens. De...);	;;	;;	;Zomer en Keuning;	1983	0	;biografie;	;z025n;	;Willem I de zwijger van Oranje;	;Anna van Saksen, Charlotte de Bourbon, prinses van Bourbon-Montpensier, Anna van Buren, Louise de Coligny, Maurits van Oranje;	;ï;;NULL
1362;Hershan, S.K.;	;De naakte engel;	;The naked angel;	;;	;Nieuwe wieken;	1971	1976	;roman;	;b136n;	;Katharina Bagaration, Clemens van Metternich;	;Alexander I van Rusland;	;2;;NULL
1262;Hertog, A. den;	;Sybrecht Willemsdochter;	;;	;;	;A.W. Sijthoff;	0	1945	;roman;	;b126n;	;Christiaan II van Denemarken, Sybrecht Willemsdochter;	;Duveke Claesdochter, Isabella van Oostenrijk;	;2;;NULL
0420;Heyer, G.;	;Royal escape;	;Royal escape;	;;	;Pan;	1938	1973	;roman;	;p042e;	;Karel II Stuart van Groot-Brittannië;	;;	;;;NULL
0410;Heyer, G.;	;The Spanish bride;	;The Spanish bride;	;;	;Pan;	1940	1974	;roman;	;p041e;	;Arthur Wellesley, hertog van Wellington;	;;	;;;NULL
0050;Hibbert, Ch.;	;Agincourt;	;Agincourt;	;Brittish Battles Series;	;Pan;	1964	1971	;verslag;	;p005n;	;De slag bij Azincourt;	;Hendrik V van Engeland, John van Engeland-Bedford, Karel VI de dwaze van Frankrijk, Anton van Brabant, Filips van Nevers, Humphrey van Engeland-Gloucester, Jan zonder vrees van Bourgondië, Richard van Engeland-York;	;xï;;NULL
0304;Hoek, K.A. van den, e.a.;	;De groten der aarde;	;;	;Universum;	;Lekturma;	0	1979	;naslagwerk;	;l030n;	;Hendrik IV van Duitsland, Atilla de hun, Diocletianus van Rome, e.a.;	;Mehmed II van Turkije, Assurbanipal van Assyrië, Frederik Willem de grote keurvorst van Brandenburg, Iwan IV de verschrikkelijke van Rusland, Jan III Sobieski van Polen, Maurits van Oranje, Nadir Shah van Perzië, Hendrik de zeevaarder van Portugal;	;i!;;NULL
0057;Hoeven, M.B. van der;	;Meulenhoff historische atlas;	;;	;;	;Meulenhoff Educatief;	1977	1978	;atlas;	;z005n;	;;	;;	;;;NULL
0374;Holt, V.;	;Bekentenissen van een koningin;	;The Queen's confession;	;;	;NBC;	1968	1969	;roman;	;l037n;	;Marie Antoinette van Oostenrijk, Lodewijk XVI van Frankrijk;	;Maria Theresia van Oostenrijk;	;e;;NULL
0020;Holt, V.;	;In de schaduw van de troon;	;;	;Reader's Digest Condensed Books;	;Reader's Digest;	1978	1980	;roman;	;c002n;	;Elisabeth I Tudor van Engeland, Robert Devereux van Essex;	;;	;î;;NULL
0362;Hooning, F. van der;	;Drielanden-prinses;	;;	;;	;Wever;	1976	0	;roman;	;b036n;	;Anna van Hannover, Willem IV van Oranje-Nassau;	;George II van Groot-Brittannië, Caroline van Brandenburg-Ansbach, Caroline van Oranje-Nassau, Marie Louise "Maaike Meu" van Hessen-Kassel;	;;;NULL
0667;Horan, M.;	;Scottish executions, assassinations and murders;	;Scottish executions, assassinations and murders;	;;	;Chambers;	1990	1990	;gids;	;z066e;	;Mary I Stuart van Schotland, Jacobus III van Schotland, e.a.;	;Jacobus I van Schotland, Alexander de wolf van Badenoch, Hendrik Stuart van Schotland, Lord Darnley;	;;;NULL
1582;Huna, L.;	;Borgia trilogie;	;Borgia trilogie;	;;	;Strengholt;	0	1954	;roman;	;b158n;	;paus Alexander VI Borgia, Cesare Borgia;	;Lucretia Borgia en Alfonso I van Este-Modena;	;2;;NULL
1112;Irwin, M.;	;Minette (prinses van Engeland);	;;	;Royal Flush (I)/ Cultuurserie;	;Stok / ZHU;	0	0	;roman;	;b111n;	;Henriëtte Stuart van Groot-Brittannië;	;Filips I van Orléans;	;;;NULL
1462;Irwin, M.;	;The bride;	;The bride;	;Royal Flush (IV);	;Chatto and Windus;	1939	1971	;roman;	;b146e;	;Louise van De Palts;	;;	;u;;NULL
0460;Irwin, M.;	;The bride;	;The bride;	;Royal Flush (IV);	;Pan Books;	1939	1969	;roman;	;p046e;	;Louise van De Palts;	;;	;ur;;NULL
0440;Irwin, M.;	;The gay galliard;	;The gay galliard;	;;	;Pan Books;	1941	1966	;roman;	;p044e;	;Mary I Stuart van Schotland;	;;	;;;NULL
0450;Irwin, M.;	;The proud servant;	;The proud servant;	;Royal Flush (III);	;Pan Books;	1934	1971	;roman;	;p045e;	;James Graham van Montrose;	;;	;;;NULL
0722;Irwin, M.;	;Young Bess;	;Young Bess;	;The story of Elizabeth Tudor (I);	;Chatto & Windus;	1944	1948	;roman;	;b072e;	;Elisabeth I Tudor van Engeland;	;Hendrik VIII Tudor van Engeland, Edward VI Tudor van Engeland, Maria I de bloedige van Engeland, 'Bloody Mary';	;;;NULL
0227;Jansen, H.P.H. e.a.;	;Vrouwen in het landsbestuur;	;;	;;	;Staatsuitgeverij;	1982	0	;biogr. studie;	;z022n;	;Adela van Hamaland, Jacoba van Beieren, Margaretha van Parma, e.a.;	;Maria de rijke van Bourgondië, Margaretha van Oostenrijk, Isabella van Oostenrijk, Amalia van Solms-Braunfels, Anna van Hannover, prinses van Groot-Brittannië;	;ï;;NULL
8882;Alff, Th.J. van, e.a.;;Geslachts-register van het vorstenhuis Lippe;;;;;;A.A.M. Stols;1938 1938;naslagwerk;NULL;b888n;NULL;Bernard van Lippe-Biesterfeld, e.a.;NULL;Simon VII de Vrome van Lippe, Simon Heinrich van Lippe-Detmold, Paul Alexander Leopold II van Lippe, Jobst Hermann van Lippe, Elisabeth Juliane van Sayn-Wittgenstein;NULL;x;NULL;2011-08-07
0040;Liepman, H.;	;Raspoetin, de bezeten monnik;	;;	;Reader's Digest Condensed Books;	;Reader's Digest;	1959	1967	;samenvatting;	;c004n;	;Grigori Efimovitsj Raspoetin;	;Nicolaas II van Rusland en Alexandra van Hessen-Darmstadt;	;î;;NULL
0204;Lofts, N.;	;Caroline Mathilde, de verloren koningin;	;The lost Queen;	;LHR;	;Lekturama;	1951	0	;roman;	;l020n;	;Caroline Mathilda van Groot-Brittannië en Hannover;	;Christiaan VII van Denemarken, Johann Friedrich Struensee, Juliana Maria van Brunswijk-Wolfenbüttel, Augusta van Saksen-Gotha;	;em;;NULL
0772;Lofts, N.;	;De ontembare koningin;	;Queen in waiting;	;Cultuurserie;	;ZHU;	0	0	;roman;	;b077n;	;Eleonora van Aquitanië, koningin van Engeland;	;Hendrik II van Engeland, Richard I leeuwenhart van Engeland, Lodewijk VII de jonge van Frankrijk, Raimond van Poitiers, vorst van Antiochië;	;e;;NULL
0872;Lofts, N.;	;Naar het de koning behaagd;	;The King's pleasure;	;Cultuurserie;	;ZHU;	1969	0	;roman;	;b087n;	;Hendrik VIII Tudor van Engeland, Catharina van Aragon, Anne Boleyn;	;;	;;;NULL
0570;Lofts, N.;	;The lost Queen;	;The lost Queen;	;;	;Fawcett Crest;	1968	1970	;roman;	;p057e;	;Caroline Mathilda van Groot-Brittannië en Hannover;	;Christiaan VII van Denemarken, Johann Friedrich Struensee, Juliana Maria van Brunswijk-Wolfenbüttel, Augusta van Saksen-Gotha;	;nr;;NULL
0580;Lofts, N.;	;The lute player;	;The lute player;	;;	;Fawcett Crest;	1951	1971	;roman;	;p058e;	;Richard I leeuwenhart van Engeland;	;Filips II Augustus van Frankrijk;	;;;NULL
0822;Longford, E.;	;Koningin Victoria;	;Victoria R.I.;	;;	;H.J. Paris;	1964	1966	;studie;	;b082n;	;Victoria van Groot-Brittannië en India;	;Albert van Saksen-Gotha, prinsgemaal van Groot-Brittannië;	;er;;NULL
0997;López-Rey, J.;	;Velásquez;	;;	;The Great Artists (Book 23);	;Funk & Wagnalls;	1978	1963	;platenboek;	;z099n;	;Filips IV van Spanje, Diego Velásquez;	;;	;i;;NULL
